5339404,original,ID,5339404,title,Asynchronous TMR processing system,date,"August 16, 1994",inventor_name,"Vandling, III; Gilbert C.",inventor_city,Endicott,inventor_country,NY
5339404,reference,ID,3921149,title,Computer comprising three data processors,date,"November 18, 1975",inventor_name,Kreis; Werner,inventor_city,Bern,inventor_country,CH,inventor_name,Laderach; Peter,inventor_city,Munsingen,inventor_country,CH
5339404,reference,ID,4363096,title,Arbitration controller providing for access of a common resource by a duplex plurality of central processing units,date,"December 7, 1982",inventor_name,Comfort; Joseph A.,inventor_city,Phoeniz,inventor_country,AZ,inventor_name,Perry; Thomas J.,inventor_city,Phoeniz,inventor_country,AZ,inventor_name,Loos; Michel,inventor_city,Phoeniz,inventor_country,AZ
5339404,reference,ID,4644498,title,Fault-tolerant real time clock,date,"February 17, 1987",inventor_name,Bedard; James F.,inventor_city,Schenectady,inventor_country,NY,inventor_name,Jaswa; Vijay C.,inventor_city,Clifton Park,inventor_country,NY
5339404,reference,ID,4667284,title,Multiplexing control unit,date,"May 19, 1987",inventor_name,Asami; Kazuo,inventor_city,Hitachi,inventor_country,JP
5339404,reference,ID,4868826,title,Fault-tolerant output circuits,date,"September 19, 1989",inventor_name,Smith; Steven E.,inventor_city,Manhattan Beach,inventor_country,CA,inventor_name,Kucharski; Janusz M.,inventor_city,Redondo Beach,inventor_country,CA,inventor_name,Murphy; Kenneth J.,inventor_city,West Hills,inventor_country,CA
5339404,reference,ID,4882731,title,"Data processing device composed of four data processing modules of identical construction, with protection both against simultaneous single-bit failures in the data processing modules and against failure of a single data processing module",date,"November 21, 1989",inventor_name,van Gils; Willibrordus J.,inventor_city,Eindhoven,inventor_country,NL
5339404,reference,ID,4907232,title,Fault-tolerant parallel processing system,date,"March 6, 1990",inventor_name,Harper; Richard E.,inventor_city,Needham,inventor_country,MA,inventor_name,Lala; Jaynarayan H.,inventor_city,Wellesley,inventor_country,MA
5339404,reference,ID,4916695,title,Stored program controlled real time system including three substantially identical processors,date,"April 10, 1990",inventor_name,Ossfeldt; Bengt E.,inventor_city,Alvsjo,inventor_country,SE
5339404,reference,ID,4965717,title,Multiple processor system having shared memory with private-write capability,date,"October 23, 1990",inventor_name,"Cutts, Jr.; Richard W.",inventor_city,Georgetown,inventor_country,TX,inventor_name,Mehta; Nikhil A.,inventor_city,Austin,inventor_country,TX,inventor_name,Jewett; Douglas E.,inventor_city,Austin,inventor_country,TX
5339404,reference,ID,5038276,title,Data processing system having dual arbiter for controlling access to a system bus,date,"August 6, 1991",inventor_name,Bozzetti; Fabio,inventor_city,MI,inventor_country,Bozzetti; Fabio (20010 S. Pietro all'Olmo (MI,inventor_name,IT,inventor_city,IT,inventor_country,IT,inventor_name,Grassi; Maurizio,inventor_city,20010 Pregnana Milanese,inventor_country,IT,inventor_name,Mantellina; Calogero,inventor_city,20023 Cerro Maggiore,inventor_country,IT
5339404,reference,ID,5117442,title,Methods and circuits for synchronizing signals in a modular redundant fault tolerant computer system,date,"May 26, 1992",inventor_name,Hall; Christopher M.,inventor_city,Redwood City,inventor_country,CA
5339404,reference,ID,5193175,title,Fault-tolerant computer with three independently clocked processors asynchronously executing identical code that are synchronized upon each voted access to two memory modules,date,"March 9, 1993",inventor_name,"Cutts, Jr.; Richard W.",inventor_city,Georgetown,inventor_country,TX,inventor_name,Norwood; Peter C.,inventor_city,Austin,inventor_country,TX,inventor_name,DeBacker; Kenneth C.,inventor_city,Austin,inventor_country,TX,inventor_name,Mehta; Nikhil A.,inventor_city,Austin,inventor_country,TX,inventor_name,Jewett; Douglas E.,inventor_city,Austin,inventor_country,TX,inventor_name,Allison; John D.,inventor_city,Austin,inventor_country,TX,inventor_name,Horst; Robert W.,inventor_city,Champaign,inventor_country,IL
